employee_id,first_name,last_name,gender,age,department_id,job_title,employment_type,experience_years,joining_date,salary,bonus,manager_id,location,country,performance,training_hours,manager_rating,project_count,certification_count,status,readiness_score,leadership_score,technical_score,business_score,skill_gap_score,promotion_probability,attrition_probability,engagement_score,promotion_target,attrition_target,learning_priority
EMP00022,Jesse,Richardson,Female,35,D014,Secondary school teacher,Full-Time,9.2,2026-04-18,82803.99,4386.69,EMP00012,Port Robert,Malta,2.2,119,1.7,6,2,Exited,65.85,30.71,79.94,58.11,32.03,48.28,92.88,2.7,0,1,Low
EMP00023,Melinda,Walker,Male,38,D006,Podiatrist,Full-Time,11.1,2023-05-24,78299.43,9619.69,EMP00013,Amyport,Cook Islands,2.6,29,2.0,14,2,Exited,50.46,28.36,57.79,67.56,52.96,39.41,94.42,1.5,0,1,High
EMP00024,Brandon,Jimenez,Male,38,D018,Health and safety adviser,Part-Time,11.7,2026-04-10,141869.61,6268.39,EMP00014,Richardborough,Grenada,4.1,117,4.1,3,2,Active,90.86,91.65,44.73,46.25,4.41,91.25,26.6,4.8,1,0,Medium
EMP00025,Michael,Miller,Female,30,D001,Animal nutritionist,Full-Time,8.0,2020-04-16,105375.18,18399.22,EMP00015,Stephensside,India,3.7,100,3.1,3,1,Exited,79.91,48.98,88.71,65.95,23.04,64.45,73.2,1.7,0,1,Low
EMP00026,Carly,Singleton,Female,44,D020,Biomedical engineer,Full-Time,23.6,2017-11-26,152356.21,11674.68,EMP00016,Parkfort,Cook Islands,3.4,59,4.0,6,2,Active,88.06,100.0,52.95,65.75,20.84,94.03,29.09,4.5,1,0,Medium
EMP00027,Stephen,Obrien,Female,27,D017,Museum/gallery conservator,Full-Time,4.7,2022-02-11,133692.36,15179.6,EMP00017,Port Laurie,Yemen,3.1,110,3.3,5,0,Active,54.52,45.76,68.72,75.12,44.31,50.14,12.58,3.8,0,0,Medium
EMP00028,Thomas,Lee,Non-Binary,29,D017,Quality manager,Full-Time,5.7,2024-10-19,80436.75,1769.12,EMP00018,Stevenschester,Finland,3.8,48,4.1,10,4,Active,52.27,70.74,54.47,52.25,38.99,61.5,11.59,4.2,0,0,Low
EMP00029,Frank,Williams,Female,28,D010,Counselling psychologist,Full-Time,11.1,2019-07-14,122274.59,12505.77,EMP00019,Lake Robertborough,Liechtenstein,3.5,40,4.4,11,0,Exited,65.26,76.89,83.65,63.43,30.57,71.07,81.45,2.1,0,1,Low
EMP00030,Donna,Mcmillan,Female,25,D020,Industrial/product designer,Full-Time,4.5,2024-11-24,103685.32,9127.63,EMP00020,Daniellebury,Bolivia,2.8,114,3.9,5,0,Active,61.22,58.81,57.53,34.14,39.65,60.02,5.17,5.0,0,0,Medium
EMP00031,Nathan,Sanchez,Female,23,D019,Patent examiner,Full-Time,3.9,2026-05-24,112255.84,15992.16,EMP00021,Grantshire,Suriname,3.7,42,3.7,14,1,Active,55.11,77.37,93.47,55.8,46.74,66.24,30.34,3.8,0,0,Medium
EMP00032,Andrea,Greer,Female,40,D019,Podiatrist,Full-Time,18.3,2018-03-19,126839.68,18268.26,EMP00022,South Michaelfort,Uzbekistan,3.2,26,3.5,10,1,Exited,73.43,75.34,43.6,66.78,31.08,74.39,88.4,2.8,0,1,Medium
EMP00033,Dustin,Mejia,Male,29,D018,"Engineer, electrical",Full-Time,8.0,2021-09-13,60561.71,4985.24,EMP00023,Charleschester,Jersey,2.8,113,3.3,9,2,Active,66.53,72.72,75.38,84.5,38.42,69.63,37.09,3.0,0,0,High
EMP00034,Jill,Sanchez,Male,43,D011,Television/film/video producer,Full-Time,16.7,2017-03-24,117216.89,4839.34,EMP00024,Deannachester,Micronesia,2.8,12,2.9,1,0,Exited,67.61,63.99,99.39,58.56,33.2,65.8,73.81,2.9,0,1,Medium
EMP00035,Michael,Goodwin,Male,22,D002,Applications developer,Full-Time,3.6,2026-05-24,62367.94,6103.39,EMP00025,Huynhbury,Norway,2.5,1,2.3,6,1,Exited,34.75,10.67,61.44,52.01,63.83,22.71,96.83,1.1,0,1,High
EMP00036,Gordon,Cunningham,Prefer not to say,28,D006,Financial trader,Full-Time,8.3,2023-01-30,72552.68,5034.78,EMP00026,South Judith,Malta,3.2,23,2.8,14,4,Active,57.92,57.65,94.37,88.47,34.73,57.79,19.07,4.7,0,0,Medium
EMP00037,Richard,Terry,Male,40,D007,"Designer, textile",Full-Time,19.2,2017-12-04,106238.44,16481.75,EMP00027,Robertland,Azerbaijan,4.4,17,4.6,8,3,Active,90.94,100.0,55.84,58.32,17.16,95.47,16.45,3.3,1,0,Low
EMP00038,Taylor,Russo,Male,33,D019,Chartered loss adjuster,Contract,11.0,2017-07-17,114651.92,12793.3,EMP00028,Michaelmouth,Botswana,4.8,34,5.0,7,1,Active,75.0,98.36,53.74,61.79,20.19,86.68,6.89,3.1,1,0,High
EMP00039,Michael,Warner,Female,39,D019,Furniture designer,Full-Time,17.8,2022-04-12,162030.4,17280.93,EMP00029,Chavezfort,Togo,4.3,57,3.7,8,0,Active,85.12,72.54,76.51,85.46,10.42,78.83,8.42,4.4,1,0,High
EMP00040,Kelly,Jones,Female,29,D012,Firefighter,Part-Time,6.4,2022-07-05,113451.05,17396.54,EMP00030,Annaview,Switzerland,3.0,74,3.2,5,0,Active,61.8,54.33,58.6,50.98,38.27,58.07,11.12,4.7,0,0,Low
EMP00041,Lisa,Thomas,Female,39,D014,Automotive engineer,Part-Time,15.8,2023-12-24,80339.85,4586.98,EMP00031,Williamchester,Latvia,2.3,42,2.5,12,0,Active,63.08,62.69,34.57,71.56,34.25,62.89,30.26,4.1,0,0,High
EMP00042,Karen,Kim,Male,32,D014,"Engineer, biomedical",Full-Time,11.1,2023-09-05,102097.02,14993.38,EMP00032,New Teresahaven,Kuwait,5.0,87,4.8,14,3,Active,84.87,93.29,90.44,60.37,16.09,89.08,18.67,4.7,1,0,High
EMP00043,Troy,Greene,Male,38,D015,Chartered public finance accountant,Full-Time,14.8,2018-08-23,98155.46,7174.2,EMP00033,South Kelly,Benin,2.2,44,3.1,12,0,Exited,63.28,66.9,65.49,45.49,29.26,65.09,72.65,2.2,0,1,Medium
EMP00044,Amy,Sims,Female,42,D015,Sport and exercise psychologist,Full-Time,15.8,2020-06-12,131541.9,26033.52,EMP00034,East Katherine,Azerbaijan,3.8,113,3.4,13,3,Active,95.39,74.71,72.6,49.16,1.82,85.05,38.07,4.3,1,0,Medium
EMP00045,Michael,York,Female,41,D014,Energy manager,Full-Time,23.3,2016-10-14,156139.69,11195.46,EMP00035,Johnsonberg,Mayotte,3.7,75,3.0,8,0,Active,100.0,77.93,75.9,61.18,3.24,88.96,25.6,4.4,1,0,Medium
EMP00046,Ryan,James,Female,39,D015,Tax adviser,Full-Time,16.2,2023-02-05,120211.89,22576.21,EMP00036,Josephtown,Saint Pierre and Miquelon,2.9,83,3.2,9,3,Active,81.12,67.5,80.57,44.28,16.68,74.31,12.71,3.7,0,0,Medium
EMP00047,Carrie,Clark,Female,42,D005,Field trials officer,Full-Time,22.8,2017-07-06,153615.21,25873.32,EMP00037,West Marissa,Jersey,3.3,118,2.6,7,2,Active,99.21,68.43,81.46,100.0,9.81,83.82,9.38,3.7,1,0,Medium
EMP00048,Nicole,Arellano,Male,38,D011,Financial controller,Full-Time,16.2,2021-10-10,114876.75,21922.71,EMP00038,Crawfordton,Nepal,1.4,45,1.0,5,1,Exited,49.91,44.92,78.24,74.39,47.56,47.41,81.2,1.9,0,1,Medium
EMP00049,Marvin,Fischer,Non-Binary,30,D001,Advertising account planner,Full-Time,2.5,2025-07-06,86753.2,14272.76,EMP00039,North Valerie,India,4.1,76,4.0,14,2,Active,60.27,65.87,78.26,34.68,41.85,63.07,36.58,4.2,0,0,Medium
EMP00050,Michael,Nichols,Male,42,D011,Careers information officer,Full-Time,20.6,2017-04-16,137709.92,18994.32,EMP00040,New Marvin,Haiti,4.3,21,4.5,6,3,Active,68.38,88.29,58.21,79.94,30.6,78.34,5.57,4.0,1,0,Medium
EMP00051,Steven,Scott,Male,27,D018,Clinical embryologist,Full-Time,6.7,2022-01-09,90371.93,17468.07,EMP00041,South Katherinetown,Eritrea,4.4,42,4.9,8,3,Active,77.58,91.04,66.37,89.39,21.18,84.31,24.74,4.5,1,0,Low
EMP00052,Karen,Henry,Female,26,D009,Clinical research associate,Full-Time,1.7,2025-10-11,94760.09,10891.16,EMP00042,South Jennifer,Armenia,5.0,80,4.0,14,4,Active,72.25,55.3,55.35,87.88,31.02,63.77,7.4,4.1,0,0,Low
EMP00053,Michelle,Spencer,Male,32,D009,Rural practice surveyor,Full-Time,10.7,2026-03-15,53793.0,2451.84,EMP00043,Port Evan,Indonesia,3.7,96,4.2,1,0,Active,70.9,77.42,63.77,58.78,38.3,74.16,12.1,3.2,0,0,Medium
EMP00054,Frank,Solis,Prefer not to say,34,D020,General practice doctor,Full-Time,14.6,2019-02-19,133233.17,10388.35,EMP00044,Aaronhaven,Guyana,5.0,75,5.0,3,0,Active,100.0,95.25,84.82,54.87,0.0,97.62,25.05,3.4,1,0,High
EMP00055,Brad,Crawford,Male,37,D004,Advertising art director,Full-Time,17.6,2022-02-24,133928.05,17020.91,EMP00045,West Jasonview,Vanuatu,2.1,50,1.6,10,3,Exited,72.43,45.37,44.18,76.91,35.71,58.9,79.42,2.3,0,1,Medium
EMP00056,William,Peterson,Male,22,D008,Oncologist,Full-Time,1.7,2025-02-19,74901.14,2377.55,EMP00046,Lake Ericside,Anguilla,3.1,67,3.2,8,2,Active,38.92,50.82,62.14,79.33,57.37,44.87,15.47,4.9,0,0,High
EMP00057,Michele,Jones,Male,39,D015,Manufacturing systems engineer,Full-Time,18.5,2020-05-06,132092.87,14832.23,EMP00047,New Jessicamouth,Austria,3.5,72,3.4,10,2,Active,87.36,88.65,59.3,69.95,10.65,88.01,34.49,4.5,1,0,Low
EMP00058,Colleen,Duke,Female,36,D018,Food technologist,Full-Time,15.3,2019-03-13,83749.27,3599.65,EMP00048,Micheletown,Cameroon,4.4,15,4.3,10,1,Active,73.89,90.08,56.78,88.03,24.59,81.99,36.54,4.2,1,0,Medium
EMP00059,Carol,Woodard,Female,34,D011,Retail banker,Full-Time,15.4,2017-06-13,119815.72,5148.84,EMP00049,Frankville,Congo,3.8,12,3.5,3,4,Exited,60.81,77.67,65.04,43.46,47.33,69.24,79.16,2.4,0,1,High
EMP00060,Amber,Calhoun,Female,42,D018,Ship broker,Contract,16.5,2023-04-11,166081.41,6021.96,EMP00050,Hardintown,Heard Island and McDonald Islands,3.1,87,3.7,8,2,Active,84.96,90.99,81.33,84.67,3.26,87.98,30.5,4.0,1,0,Low
EMP00061,Marilyn,Taylor,Female,29,D006,Jewellery designer,Full-Time,2.4,2024-03-03,94524.26,1450.93,EMP00051,Charleshaven,Iraq,4.7,85,4.1,9,2,Active,71.85,63.08,70.21,90.66,32.76,67.47,5.04,4.1,0,0,Low
EMP00062,Erik,Davis,Female,22,D006,Lobbyist,Full-Time,2.7,2026-05-18,65032.54,11937.7,EMP00052,New Krystal,Saint Kitts and Nevis,2.8,41,2.8,3,3,Active,39.01,38.71,75.73,58.74,63.25,38.86,14.64,3.3,0,0,Low
EMP00063,Lauren,Maxwell,Male,23,D018,"Scientist, research (medical)",Full-Time,2.7,2025-03-06,65381.48,11508.69,EMP00053,East Davidport,Gabon,3.0,110,2.4,6,3,Exited,62.1,56.66,51.76,73.21,41.92,59.38,81.58,1.4,0,1,High
EMP00064,Donald,Contreras,Female,27,D002,Research scientist (physical sciences),Full-Time,10.3,2018-02-14,100862.31,12320.73,EMP00054,East Ericastad,Slovakia (Slovak Republic),3.1,25,3.2,4,4,Exited,62.93,77.09,69.38,36.05,34.45,70.01,83.71,2.6,0,1,Medium
EMP00065,Lisa,Johnson,Male,34,D010,IT consultant,Full-Time,15.3,2020-05-14,110503.86,11165.5,EMP00055,Hunterton,Belize,5.0,50,4.8,2,0,Active,86.92,100.0,93.02,78.68,10.39,93.46,36.76,4.0,1,0,Low
EMP00066,Jamie,Hughes,Male,31,D019,Meteorologist,Full-Time,12.3,2023-12-09,90156.18,4283.29,EMP00056,South Nathanielstad,French Southern Territories,2.8,64,1.8,9,1,Exited,59.54,35.46,72.81,47.82,40.6,47.5,97.0,2.9,0,1,High
EMP00067,Heather,Gomez,Female,28,D001,Contracting civil engineer,Part-Time,8.8,2021-07-09,121525.56,2123.61,EMP00057,Luisport,Serbia,3.8,106,3.3,11,2,Exited,73.65,65.76,64.99,76.66,23.22,69.7,70.13,2.1,0,1,Medium
EMP00068,Christopher,Graves,Female,31,D004,Horticultural consultant,Full-Time,12.8,2023-04-20,130336.89,15200.21,EMP00058,Lewisberg,Antigua and Barbuda,3.7,87,4.3,10,2,Active,87.33,78.06,61.75,55.25,16.23,82.69,35.13,4.7,1,0,Medium
EMP00069,Robert,Long,Male,46,D019,Market researcher,Full-Time,22.3,2019-02-09,125946.33,24323.39,EMP00059,North Ginafort,Latvia,3.7,74,3.3,4,3,Active,100.0,81.02,63.83,77.56,0.0,90.51,26.78,4.5,1,0,Medium
EMP00070,Daniel,White,Female,33,D010,"Designer, exhibition/display",Full-Time,16.8,2018-11-03,96198.09,13462.07,EMP00060,Port Matthewton,Korea,4.8,15,4.6,14,1,Active,85.19,95.91,72.55,75.59,27.34,90.55,5.29,3.3,1,0,Medium
EMP00071,Walter,Wallace,Female,26,D007,"Teacher, early years/pre",Full-Time,4.6,2022-04-23,48609.87,9156.29,EMP00061,Vickifort,Bouvet Island (Bouvetoya),3.9,69,3.9,6,0,Active,53.7,78.57,77.21,52.25,44.89,66.13,24.03,4.7,0,0,Medium
EMP00072,Bobby,Mcguire,Male,34,D002,"Nurse, learning disability",Full-Time,12.1,2017-12-29,103900.36,8043.18,EMP00062,New Jennifer,Tajikistan,3.9,88,4.2,1,3,Active,82.82,100.0,46.35,40.48,14.91,91.41,32.15,4.9,1,0,High
EMP00073,Dale,Robinson,Male,35,D017,Civil Service administrator,Full-Time,7.9,2024-09-07,77460.78,4166.76,EMP00063,Darrellshire,El Salvador,3.8,58,2.9,5,1,Active,71.74,42.41,60.35,96.8,31.29,57.08,6.05,4.5,0,0,High
EMP00074,Adam,Clay,Male,27,D010,Lobbyist,Full-Time,2.0,2026-04-24,74550.23,12706.39,EMP00064,Smithtown,Togo,2.8,37,3.4,10,3,Active,36.1,48.68,76.7,75.06,59.79,42.39,12.08,3.9,0,0,High
EMP00075,Sarah,Brown,Female,32,D001,Cabin crew,Full-Time,10.6,2017-06-06,107839.17,4371.68,EMP00065,Reillyville,Cambodia,2.7,60,2.7,4,3,Exited,55.36,41.76,74.76,68.29,39.52,48.56,98.27,1.9,0,1,Low
EMP00076,Elizabeth,Thomas,Male,33,D016,Health and safety inspector,Full-Time,14.7,2025-12-01,111141.93,4260.27,EMP00066,Johnsland,Belgium,5.0,110,5.0,1,1,Active,100.0,95.77,60.39,64.82,1.98,97.89,39.61,3.5,1,0,Medium
EMP00077,Fred,White,Female,31,D005,"Engineer, automotive",Full-Time,12.4,2023-05-20,131532.72,24732.3,EMP00067,Jamesland,Russian Federation,4.0,108,4.4,11,0,Active,82.83,76.19,51.3,50.95,18.1,79.51,8.78,3.7,1,0,Low
EMP00078,Jeremy,Ramirez,Female,28,D020,Paramedic,Full-Time,6.6,2021-01-21,67406.47,12651.77,EMP00068,Graytown,Angola,4.9,68,5.0,10,4,Active,75.63,84.85,68.06,76.41,32.03,80.24,11.15,4.2,1,0,Medium
EMP00079,Jenna,Hahn,Male,38,D011,Transport planner,Full-Time,17.8,2018-01-14,110254.37,21219.53,EMP00069,West Kelly,Ghana,4.5,52,4.1,4,4,Active,94.22,90.38,69.57,83.27,3.21,92.3,15.94,3.0,1,0,Medium
EMP00080,Matthew,Walker,Male,30,D001,"Programmer, systems",Full-Time,4.0,2023-05-16,40000.0,2349.46,EMP00070,Nicholasmouth,Gambia,4.4,83,4.0,1,2,Active,55.85,68.99,70.6,67.68,45.03,62.42,24.45,3.1,0,0,Medium
EMP00081,Daryl,Morton,Male,34,D007,Forensic scientist,Full-Time,13.5,2025-02-16,104794.73,20128.44,EMP00071,New Christopherborough,Ecuador,4.4,42,3.5,7,2,Active,72.23,82.31,74.62,55.38,39.52,77.27,18.78,4.8,1,0,Low
EMP00082,Jessica,Wright,Male,22,D011,Logistics and distribution manager,Full-Time,6.0,2023-12-25,115144.22,12702.71,EMP00072,Port Hannah,Greenland,3.4,73,3.7,13,2,Active,59.37,57.94,40.17,55.71,40.79,58.65,7.95,4.4,0,0,Medium
EMP00083,Laura,Clements,Female,38,D013,"Programme researcher, broadcasting/film/video",Full-Time,14.5,2018-10-23,135765.39,16864.56,EMP00073,Delacruzmouth,Samoa,2.7,89,2.4,7,2,Exited,84.37,79.94,53.7,85.53,9.34,82.15,77.13,2.0,1,1,Low
EMP00084,Amy,Diaz,Male,31,D001,"Scientist, research (medical)",Full-Time,10.6,2018-11-20,99294.21,13411.68,EMP00074,Stephenstad,Somalia,2.5,15,2.2,5,2,Exited,50.25,41.69,77.78,78.62,47.16,45.97,81.21,1.3,0,1,Medium
EMP00085,Randall,Myers,Female,33,D016,"Engineer, mining",Contract,12.6,2024-10-09,95849.09,5281.09,EMP00075,Philliptown,Suriname,2.4,24,2.4,2,3,Exited,55.38,58.42,84.75,60.37,39.22,56.9,98.57,1.8,0,1,Medium
EMP00086,Diane,Arias,Female,30,D014,Investment analyst,Full-Time,10.3,2026-02-08,110885.65,4516.41,EMP00076,Hawkinsview,Belize,3.9,88,3.1,6,1,Active,81.88,65.54,67.7,60.16,19.14,73.71,25.55,4.5,0,0,Medium
EMP00087,Philip,Cruz,Female,30,D016,"Buyer, industrial",Full-Time,16.9,2019-12-18,113439.58,4972.94,EMP00077,South Andrew,Comoros,4.5,32,4.8,3,1,Active,89.99,99.73,82.41,100.0,8.79,94.86,34.88,3.2,1,0,High
EMP00088,Barbara,Harrison,Male,22,D014,Production manager,Full-Time,4.3,2024-11-21,77213.32,9848.33,EMP00078,East Monica,Kenya,4.8,93,4.8,1,4,Active,71.7,61.31,82.14,43.41,18.7,66.5,25.43,3.5,0,0,High
EMP00089,Kara,Jenkins,Female,31,D001,"Teacher, music",Full-Time,9.0,2023-04-26,121291.64,12165.32,EMP00079,Port Crystal,Bolivia,3.4,76,4.1,12,0,Active,64.32,61.0,38.09,64.94,33.83,62.66,20.18,3.3,0,0,High
EMP00090,Gwendolyn,Rice,Male,31,D007,Sports coach,Full-Time,8.1,2026-04-24,97428.79,13531.39,EMP00080,Chapmanfurt,Madagascar,2.8,46,3.0,12,1,Active,49.92,71.09,62.07,48.31,56.64,60.51,36.85,4.5,0,0,Low
EMP00091,Vanessa,Dixon,Female,29,D008,"Engineer, communications",Full-Time,10.0,2019-12-05,164606.18,8055.48,EMP00081,New Janetville,Djibouti,2.1,7,1.9,3,0,Exited,37.09,50.82,58.82,78.69,54.52,43.95,85.63,1.8,0,1,Medium
EMP00092,Jeremiah,Chapman,Female,23,D001,Retail banker,Full-Time,2.3,2026-02-19,64178.31,578.34,EMP00082,Toddhaven,Russian Federation,4.1,61,4.1,8,4,Active,59.71,60.11,41.95,79.78,42.92,59.91,27.58,3.5,0,0,Medium
EMP00093,Dawn,Moore,Male,30,D013,"Programmer, multimedia",Full-Time,3.1,2025-07-05,75714.09,11701.74,EMP00083,West Danieltown,Eritrea,3.9,91,4.1,5,3,Active,67.9,62.74,66.57,72.51,31.12,65.32,6.29,3.5,0,0,Medium
EMP00094,Eric,Ramirez,Male,29,D004,Chartered public finance accountant,Full-Time,6.8,2020-10-12,90881.01,17651.31,EMP00084,South Tina,Uganda,3.5,85,3.3,9,4,Exited,61.82,52.77,93.19,42.03,36.14,57.29,91.53,2.1,0,1,Low
EMP00095,Heather,Pham,Male,31,D004,Financial controller,Full-Time,11.7,2020-09-17,122334.54,18334.9,EMP00085,Aliciaview,United States Minor Outlying Islands,2.6,40,2.5,9,0,Exited,67.85,67.4,53.5,85.14,40.08,67.62,82.31,2.3,0,1,Low
EMP00096,Karen,Roberts,Prefer not to say,39,D013,Land/geomatics surveyor,Full-Time,16.4,2017-10-23,117528.01,18185.22,EMP00086,Danielfurt,Syrian Arab Republic,3.2,41,3.4,11,3,Exited,72.2,59.23,80.65,56.21,35.01,65.72,71.88,2.2,0,1,Medium
EMP00097,Jennifer,Richardson,Male,35,D019,Magazine journalist,Full-Time,14.4,2021-02-13,121590.02,13331.87,EMP00087,New Nicholemouth,Nauru,2.7,38,2.8,6,1,Exited,57.43,56.64,84.78,82.6,38.7,57.04,91.94,2.0,0,1,Medium
EMP00098,Patricia,Martinez,Male,31,D017,Occupational psychologist,Full-Time,8.0,2023-11-28,62934.6,1818.25,EMP00088,Port Fredborough,Norfolk Island,4.3,14,4.2,10,2,Active,68.16,81.49,89.31,80.45,24.25,74.82,20.07,3.7,0,0,High
EMP00099,Tanya,Parker,Female,27,D020,Photographer,Full-Time,12.8,2022-02-03,126427.44,23578.58,EMP00089,New Deborahport,Liechtenstein,3.3,1,4.0,13,4,Active,49.91,84.06,33.21,77.93,51.74,66.98,32.08,4.0,0,0,Low
EMP00100,Lauren,Garrett,Female,27,D002,Waste management officer,Full-Time,8.1,2026-05-23,73606.6,4106.81,EMP00090,Jasonland,Reunion,4.5,31,4.7,4,4,Active,67.54,60.93,65.17,8.82,25.55,64.23,19.94,4.6,0,0,Medium
EMP00101,Tyler,Edwards,Male,34,D018,Podiatrist,Contract,16.8,2018-02-11,111769.02,1956.98,EMP00091,North Kylie,Mozambique,4.2,61,4.4,4,1,Active,91.46,83.29,45.87,88.39,15.02,87.37,8.45,3.1,1,0,Medium
