candidate_id,requisition_id,first_name,last_name,experience_years,status
CAND00057,REQ19053,Charles,Atkinson,15.7,Rejected
CAND00058,REQ04739,Christina,Edwards,16.9,Hired
CAND00059,REQ17904,Justin,Hernandez,16.7,Rejected
CAND00060,REQ16385,Theresa,Burnett,4.1,Rejected
CAND00061,REQ09032,Kathleen,Chandler,2.9,Rejected
CAND00062,REQ01603,Ashley,Taylor,2.8,Interviewing
CAND00063,REQ05038,Kenneth,Turner,16.8,Rejected
CAND00064,REQ16820,Jonathon,Hall,0.7,Rejected
CAND00065,REQ24954,Frank,Johnson,2.5,Interviewing
CAND00066,REQ12661,Andrew,Summers,14.5,Rejected
CAND00067,REQ13054,Paige,Lewis,6.6,Rejected
CAND00068,REQ04295,Stephanie,Lambert,6.1,Rejected
CAND00069,REQ20217,Nicholas,Jackson,12.3,Rejected
CAND00070,REQ14345,Anthony,Miller,7.0,Rejected
CAND00071,REQ22846,Tammy,Turner,11.4,Rejected
CAND00072,REQ11321,Brent,Lowe,6.3,Hired
CAND00073,REQ19478,Ana,Phillips,17.5,Rejected
CAND00074,REQ05335,Susan,Heath,9.0,Rejected
CAND00075,REQ20294,Kathryn,Miles,16.7,Rejected
CAND00076,REQ03900,Susan,Sanders,1.2,Rejected
CAND00077,REQ19842,Brenda,Pierce,5.9,Rejected
CAND00078,REQ00622,Kaitlyn,Smith,15.4,Rejected
CAND00079,REQ19746,Thomas,West,12.6,Rejected
CAND00080,REQ19039,Elizabeth,Hanson,15.6,Rejected
CAND00081,REQ15623,Linda,Green,4.8,Hired
CAND00082,REQ01864,Jacqueline,Walker,9.1,Rejected
CAND00083,REQ06108,Robert,Gonzalez,14.6,Rejected
CAND00084,REQ18227,Natasha,Perry,5.9,Rejected
CAND00085,REQ19471,Brandon,Mayo,19.2,Hired
CAND00086,REQ14950,Emily,Peterson,3.4,Rejected
CAND00087,REQ06172,Tanya,Vincent,12.5,Rejected
CAND00088,REQ08400,Jennifer,Underwood,3.0,Rejected
CAND00089,REQ23273,Franklin,Ortiz,18.7,Rejected
CAND00090,REQ23105,Jonathan,Bryant,6.7,Rejected
CAND00091,REQ01116,Angela,Anderson,18.5,Rejected
CAND00092,REQ15077,Charles,Rose,1.4,Rejected
CAND00093,REQ08379,John,Martinez,10.0,Hired
CAND00094,REQ01815,Christina,Stewart,15.2,Hired
CAND00095,REQ02624,Christina,Murillo,15.8,Rejected
CAND00096,REQ12457,Michael,Ortiz,8.5,Hired
CAND00097,REQ07169,Adam,Gomez,5.7,Rejected
CAND00098,REQ17789,Diane,Martinez,16.4,Interviewing
CAND00099,REQ16688,Mark,Jenkins,5.9,Offer Extended
CAND00100,REQ24789,Melissa,Morales,16.6,Rejected
CAND00101,REQ06901,Joshua,Briggs,16.0,Rejected
CAND00102,REQ13208,Dawn,Johnson,11.0,Interviewing
CAND00103,REQ08708,Robert,Marsh,16.3,Rejected
CAND00104,REQ07268,David,Johnson,18.8,Offer Extended
CAND00105,REQ02694,Brittany,Thomas,4.0,Rejected
CAND00106,REQ09636,Christopher,Smith,17.3,Rejected
CAND00107,REQ06568,Haley,Rice,7.3,Rejected
CAND00108,REQ01521,Brenda,Arellano,15.3,Interviewing
CAND00109,REQ07076,Monique,Alexander,7.4,Rejected
CAND00110,REQ11944,Christopher,Hunt,14.7,Rejected
CAND00111,REQ20555,Heather,Keller,14.4,Interviewing
CAND00112,REQ00814,Heather,Cooper,6.6,Hired
CAND00113,REQ00369,Robert,Ritter,9.2,Rejected
CAND00114,REQ21612,Jenna,Perez,18.4,Rejected
CAND00115,REQ21295,Lisa,Torres,17.2,Rejected
CAND00116,REQ21028,Veronica,Lopez,1.9,Hired
CAND00117,REQ18981,Ashlee,Schmidt,9.9,Interviewing
CAND00118,REQ07801,Jennifer,Rodriguez,15.3,Rejected
CAND00119,REQ08754,Susan,Cook,18.9,Offer Extended
CAND00120,REQ16284,Samantha,Jackson,17.1,Rejected
CAND00121,REQ04675,Matthew,Johnson,5.7,Interviewing
CAND00122,REQ05284,Travis,Robinson,18.2,Hired
CAND00123,REQ00565,Calvin,Buck,1.1,Hired
CAND00124,REQ23850,Nathan,Herrera,14.8,Rejected
CAND00125,REQ16603,Ann,Diaz,5.7,Rejected
CAND00126,REQ03293,Billy,Ellis,6.2,Rejected
CAND00127,REQ19493,Anthony,Hayes,10.6,Interviewing
CAND00128,REQ05865,Jay,Barry,11.1,Rejected
CAND00129,REQ00090,David,Tucker,19.6,Rejected
CAND00130,REQ20771,Brandon,Butler,19.4,Rejected
CAND00131,REQ08895,Cody,Simpson,19.1,Rejected
CAND00132,REQ19654,Lorraine,Murphy,9.1,Hired
CAND00133,REQ18185,Jacob,Bright,0.7,Rejected
CAND00134,REQ15323,Brittany,Lawson,0.9,Rejected
CAND00135,REQ15143,Bradley,Sims,14.7,Rejected
CAND00136,REQ18832,Crystal,Robinson,8.3,Rejected
CAND00137,REQ17860,James,Clark,13.3,Rejected
CAND00138,REQ21409,Craig,Cline,3.8,Rejected
CAND00139,REQ20429,Sarah,Davis,11.1,Offer Extended
CAND00140,REQ07956,Anita,Terry,3.4,Hired
CAND00141,REQ23307,Michael,Yu,7.0,Rejected
CAND00142,REQ02071,Anthony,Gonzalez,8.9,Rejected
CAND00143,REQ17353,Pamela,Valencia,12.2,Rejected
CAND00144,REQ07422,Jeffrey,Bentley,6.0,Rejected
CAND00145,REQ02449,Holly,Martinez,3.7,Rejected
CAND00146,REQ01656,Kim,Davidson,18.7,Rejected
CAND00147,REQ17009,Dawn,Durham,19.6,Hired
CAND00148,REQ17149,Amy,Barron,1.2,Rejected
CAND00149,REQ11565,Richard,Taylor,17.8,Rejected
CAND00150,REQ02462,Janice,Wood,12.2,Rejected
CAND00151,REQ11433,Melody,Hernandez,9.3,Rejected
CAND00152,REQ03591,Mary,Moore,11.0,Hired
CAND00153,REQ00651,Holly,Hill,1.1,Interviewing
CAND00154,REQ08708,Brianna,Wilson,0.7,Interviewing
CAND00155,REQ15880,Helen,Mcdonald,15.3,Rejected
CAND00156,REQ06534,Wendy,Johnson,7.6,Hired
CAND00157,REQ21737,Erica,Williams,13.4,Rejected
CAND00158,REQ18631,Cristian,Campbell,11.6,Rejected
CAND00159,REQ23480,Shannon,Meyer,10.2,Rejected
CAND00160,REQ11340,David,Gay,15.3,Rejected
CAND00161,REQ19268,Brandon,Phillips,18.9,Rejected
CAND00162,REQ06556,William,Solomon,14.8,Rejected
CAND00163,REQ15162,Kathy,Daniels,3.1,Offer Extended
CAND00164,REQ04839,Matthew,Anderson,17.4,Hired
CAND00165,REQ05903,Kimberly,Snow,8.4,Rejected
CAND00166,REQ22447,William,Robinson,5.2,Rejected
CAND00167,REQ21501,Nicole,Hendrix,13.5,Hired
CAND00168,REQ10588,Lauren,Smith,0.4,Rejected
CAND00169,REQ08891,Angela,Green,15.0,Rejected
CAND00170,REQ07321,Dawn,Brown,0.1,Interviewing
CAND00171,REQ00969,Evan,Schultz,18.3,Hired
CAND00172,REQ11223,John,Hines,0.5,Rejected
CAND00173,REQ22843,Paul,Goodman,4.5,Hired
CAND00174,REQ03151,John,Farley,19.4,Hired
CAND00175,REQ11204,Tammy,Griffin,4.6,Hired
CAND00176,REQ17742,Tracy,Patterson,12.2,Rejected
CAND00177,REQ20395,Jamie,Graham,9.1,Rejected
CAND00178,REQ07032,Jeffrey,Cooke,19.2,Rejected
CAND00179,REQ07333,Sherri,Dixon,7.3,Rejected
CAND00180,REQ05318,Lauren,English,15.5,Interviewing
CAND00181,REQ05888,Autumn,Foster,17.8,Interviewing
CAND00182,REQ03870,Jessica,Pierce,17.9,Interviewing
CAND00183,REQ16773,Sharon,Blankenship,5.0,Offer Extended
CAND00184,REQ20953,Shaun,Mitchell,2.9,Interviewing
CAND00185,REQ17007,Heather,Johnson,4.2,Rejected
CAND00186,REQ22390,Kenneth,Christian,17.0,Offer Extended
CAND00187,REQ10882,Katherine,Martinez,4.7,Rejected
CAND00188,REQ08023,Jasmine,Hoffman,9.6,Hired
CAND00189,REQ01806,Amy,Jones,19.5,Rejected
CAND00190,REQ08771,Debra,Ho,14.5,Rejected
CAND00191,REQ18428,Tammy,Joseph,4.3,Rejected
CAND00192,REQ04182,Vickie,Sanchez,4.3,Rejected
CAND00193,REQ12509,Nicholas,Brown,0.8,Rejected
CAND00194,REQ11165,Lisa,Richardson,11.6,Rejected
CAND00195,REQ23999,Ryan,Fernandez,4.6,Rejected
CAND00196,REQ04376,Emily,Wyatt,0.9,Rejected
CAND00197,REQ10187,Susan,Martin,0.2,Rejected
CAND00198,REQ17391,Kevin,Gallagher,1.5,Rejected
CAND00199,REQ23387,Fred,Singleton,3.1,Hired
CAND00200,REQ14626,Raymond,Dorsey,19.4,Rejected
CAND00201,REQ24652,Glenn,Owens,1.7,Rejected
CAND00202,REQ05601,Shannon,Baker,9.3,Rejected
CAND00203,REQ11674,Isaac,Ellis,14.7,Rejected
CAND00204,REQ11603,Peter,Schultz,11.8,Offer Extended
CAND00205,REQ00425,Anne,French,6.8,Offer Extended
CAND00206,REQ22479,Tiffany,Fuller,17.9,Rejected
CAND00207,REQ12211,Cassidy,Schmidt,13.4,Interviewing
CAND00208,REQ14303,Elizabeth,Ramirez,18.8,Rejected
CAND00209,REQ10047,Tricia,Wagner,4.3,Offer Extended
CAND00210,REQ00758,Joan,Carlson,2.2,Rejected
CAND00211,REQ10008,Joshua,Moore,7.0,Rejected
CAND00212,REQ11183,Andrea,Delacruz,15.6,Rejected
CAND00213,REQ19486,David,Hess,6.6,Rejected
CAND00214,REQ18755,Tonya,Hudson,18.9,Rejected
CAND00215,REQ18059,Suzanne,Powers,15.6,Interviewing
CAND00216,REQ06348,Brian,Bryant,2.2,Rejected
CAND00217,REQ00236,Marcus,Douglas,17.8,Rejected
CAND00218,REQ17139,Charles,Lucas,16.5,Rejected
CAND00219,REQ05448,Suzanne,Medina,10.5,Rejected
CAND00220,REQ06082,Alexander,Beasley,14.1,Rejected
CAND00221,REQ18712,Frank,Freeman,14.8,Rejected
CAND00222,REQ12855,Jenna,Palmer,2.8,Rejected
CAND00223,REQ18301,Sheri,Gomez,7.0,Rejected
CAND00224,REQ17040,Christopher,Roberts,2.7,Rejected
CAND00225,REQ02571,Christina,Alvarado,0.5,Rejected
CAND00226,REQ00703,Kimberly,King,2.1,Rejected
CAND00227,REQ16992,Paula,Andrade,8.1,Rejected
CAND00228,REQ00917,Monica,Brennan,6.0,Interviewing
CAND00229,REQ18567,Hannah,Johnson,17.8,Rejected
CAND00230,REQ21431,Timothy,Russo,16.4,Hired
CAND00231,REQ04637,Shelia,Graham,13.1,Rejected
CAND00232,REQ08923,Robert,Johnson,16.6,Hired
CAND00233,REQ07663,Anthony,Wise,13.4,Rejected
CAND00234,REQ02959,Sean,Mosley,3.7,Interviewing
CAND00235,REQ10075,Nicholas,Schwartz,6.3,Interviewing
CAND00236,REQ14184,Jennifer,Myers,14.5,Rejected
CAND00237,REQ00887,Kristen,White,2.6,Rejected
CAND00238,REQ18437,Sandra,Peters,12.5,Rejected
CAND00239,REQ23343,Michelle,Morris,14.4,Rejected
CAND00240,REQ24823,Penny,Dixon,13.2,Interviewing
CAND00241,REQ16375,Robert,Armstrong,10.6,Rejected
CAND00242,REQ01005,Brian,Brown,7.6,Interviewing
CAND00243,REQ19760,Ashley,Clayton,16.6,Rejected
CAND00244,REQ09536,Gina,Rivas,19.7,Interviewing
CAND00245,REQ12392,Ann,Thomas,9.6,Rejected
CAND00246,REQ24767,Vanessa,Reid,12.8,Rejected
CAND00247,REQ19889,Jennifer,Price,19.9,Rejected
CAND00248,REQ01529,Nicholas,Smith,7.0,Rejected
CAND00249,REQ14653,Steven,Hebert,13.1,Rejected
CAND00250,REQ00442,Jessica,Lindsey,9.0,Rejected
CAND00251,REQ00779,Crystal,Bradley,2.0,Rejected
CAND00252,REQ05866,Colleen,Marquez,19.4,Interviewing
CAND00253,REQ20601,Chelsea,Pham,4.8,Rejected
CAND00254,REQ01580,Hector,Warren,19.8,Rejected
CAND00255,REQ20994,Kathleen,Carroll,9.2,Rejected
CAND00256,REQ03892,Shaun,Cochran,17.7,Rejected
CAND00257,REQ03613,Jose,White,19.5,Rejected
CAND00258,REQ11674,Johnny,Green,12.6,Rejected
CAND00259,REQ22998,Theresa,Middleton,13.0,Rejected
CAND00260,REQ19655,Michael,Conley,2.3,Rejected
CAND00261,REQ08132,Bryan,Myers,6.1,Rejected
CAND00262,REQ17546,Tonya,Sullivan,0.7,Interviewing
CAND00263,REQ04720,Marie,Rice,10.6,Rejected
CAND00264,REQ16026,Ricky,Roberts,19.9,Rejected
CAND00265,REQ19289,Luke,Foley,15.8,Rejected
CAND00266,REQ05466,Angie,Chung,2.3,Interviewing
CAND00267,REQ08930,Elizabeth,Jones,14.1,Hired
CAND00268,REQ01783,Antonio,Buchanan,14.5,Rejected
CAND00269,REQ07377,Jeff,Turner,6.6,Rejected
CAND00270,REQ10918,Sandra,Gibson,16.7,Interviewing
CAND00271,REQ11133,Regina,Ellis,12.0,Rejected
CAND00272,REQ01397,Amy,Pena,13.3,Rejected
CAND00273,REQ04670,Jennifer,Allen,14.7,Interviewing
CAND00274,REQ23797,Rebecca,Smith,6.6,Rejected
CAND00275,REQ01610,Mary,Garcia,8.1,Rejected
CAND00276,REQ01536,Eric,Brown,18.8,Rejected
CAND00277,REQ19323,Jason,Rice,15.2,Rejected
CAND00278,REQ14023,Kelly,Beasley,13.1,Hired
CAND00279,REQ11525,Hannah,Flores,0.5,Interviewing
CAND00280,REQ08681,Patrick,Harvey,15.9,Rejected
CAND00281,REQ19994,Jon,Chavez,1.7,Interviewing
CAND00282,REQ17743,Olivia,Turner,12.1,Rejected
CAND00283,REQ09647,Richard,Nixon,2.5,Rejected
CAND00284,REQ02652,Jennifer,Moon,14.9,Interviewing
CAND00285,REQ20065,Arthur,Taylor,1.2,Hired
CAND00286,REQ07508,Erin,Phillips,15.4,Offer Extended
CAND00287,REQ22802,Michael,White,6.5,Rejected
CAND00288,REQ21656,John,Morrison,7.3,Hired
CAND00289,REQ03724,Cindy,Bates,2.8,Rejected
CAND00290,REQ13964,Amanda,Davis,4.4,Rejected
CAND00291,REQ16170,Kara,Suarez,17.9,Interviewing
CAND00292,REQ04382,Christy,Anthony,13.9,Rejected
CAND00293,REQ18697,Paul,Stone,17.8,Hired
CAND00294,REQ22037,Todd,Phillips,4.5,Rejected
CAND00295,REQ05313,Holly,Ford,8.6,Rejected
CAND00296,REQ23195,Don,Johnson,5.0,Offer Extended
CAND00297,REQ11964,Jenny,Ross,12.2,Rejected
CAND00298,REQ14314,Timothy,Liu,5.7,Hired
CAND00299,REQ16121,Jason,Gillespie,0.6,Rejected
CAND00300,REQ22002,Matthew,Stevens,6.5,Rejected
CAND00301,REQ19349,Crystal,Gaines,18.4,Rejected
CAND00302,REQ12748,Heather,Banks,16.2,Rejected
CAND00303,REQ04159,William,Washington,16.3,Offer Extended
CAND00304,REQ23954,Angelica,Gilbert,13.8,Rejected
CAND00305,REQ04932,Mary,Perez,13.9,Interviewing
CAND00306,REQ04049,Victoria,Kennedy,5.7,Interviewing
CAND00307,REQ02309,George,Navarro,1.7,Rejected
CAND00308,REQ08160,Karen,Shepherd,13.8,Rejected
CAND00309,REQ22024,Gail,Cross,19.8,Rejected
CAND00310,REQ18371,Grace,Strickland,4.3,Hired
CAND00311,REQ06069,Kimberly,Mathews,19.9,Rejected
CAND00312,REQ23632,Carla,Douglas,9.8,Rejected
CAND00313,REQ09942,Jacob,Hicks,19.3,Rejected
CAND00314,REQ22422,Frank,Wells,13.9,Interviewing
CAND00315,REQ16070,Margaret,Williamson,2.2,Rejected
CAND00316,REQ10461,Jesse,Smith,14.3,Rejected
CAND00317,REQ10844,Madison,Lopez,8.2,Rejected
CAND00318,REQ15027,Ariel,Massey,2.7,Rejected
CAND00319,REQ21096,Manuel,Sutton,1.3,Interviewing
CAND00320,REQ04968,Caroline,Roberts,9.9,Hired
CAND00321,REQ22861,Thomas,Moore,7.6,Rejected
CAND00322,REQ02935,Gina,Wade,0.8,Interviewing
CAND00323,REQ13787,Marissa,Harper,3.5,Rejected
CAND00324,REQ12308,Adrian,Nixon,3.2,Rejected
CAND00325,REQ23604,Dawn,Sullivan,17.8,Hired
CAND00326,REQ21021,Kyle,Pierce,15.5,Hired
CAND00327,REQ02829,Jacob,Smith,9.1,Rejected
CAND00328,REQ12135,Stephanie,Foley,2.3,Rejected
CAND00329,REQ20507,Ellen,Alvarez,2.9,Rejected
CAND00330,REQ22157,Michael,Chung,16.8,Interviewing
CAND00331,REQ21104,Sandra,Kennedy,1.9,Rejected
CAND00332,REQ12949,Kenneth,Morales,13.2,Rejected
CAND00333,REQ12379,Kathryn,Ferrell,3.5,Rejected
CAND00334,REQ10211,Erica,Torres,14.6,Offer Extended
CAND00335,REQ18156,David,Garcia,19.2,Rejected
CAND00336,REQ20495,Daniel,Ibarra,2.2,Rejected
CAND00337,REQ04708,Russell,Day,2.2,Rejected
CAND00338,REQ21054,Nicholas,Martinez,18.3,Hired
CAND00339,REQ22544,Christopher,Ortega,18.3,Rejected
CAND00340,REQ05804,Michael,Gregory,2.4,Rejected
CAND00341,REQ18043,Sean,Ford,11.4,Rejected
CAND00342,REQ17476,Raymond,Myers,18.2,Interviewing
CAND00343,REQ17914,Samantha,Brown,7.2,Rejected
CAND00344,REQ09215,Kevin,Sweeney,2.9,Interviewing
CAND00345,REQ10908,Robert,Skinner,10.7,Rejected
CAND00346,REQ13299,Lisa,Barton,11.5,Rejected
CAND00347,REQ02595,Theodore,Dunn,4.6,Rejected
CAND00348,REQ23298,James,Bell,10.8,Rejected
CAND00349,REQ11914,Melissa,Martinez,16.0,Offer Extended
CAND00350,REQ06731,Victoria,Cook,1.9,Offer Extended
CAND00351,REQ09871,Tanya,Ball,15.8,Rejected
CAND00352,REQ13428,Sarah,Ray,8.7,Rejected
CAND00353,REQ05622,Denise,Garcia,18.5,Rejected
CAND00354,REQ02093,Mariah,Reyes,19.6,Hired
CAND00355,REQ21883,Alicia,Ramirez,13.3,Rejected
CAND00356,REQ13250,Austin,Smith,3.7,Rejected
CAND00357,REQ08219,Lindsay,Johnson,10.2,Rejected
CAND00358,REQ20402,Renee,Chavez,12.9,Rejected
CAND00359,REQ06074,Christina,Shelton,11.0,Rejected
CAND00360,REQ23479,Catherine,Russell,9.5,Hired
CAND00361,REQ20984,Daniel,Schroeder,10.6,Rejected
CAND00362,REQ23031,Anne,Luna,13.3,Rejected
CAND00363,REQ16949,Margaret,Jones,2.8,Rejected
CAND00364,REQ14918,James,Porter,9.5,Rejected
CAND00365,REQ20898,Nicholas,Jackson,16.4,Interviewing
CAND00366,REQ00245,Alexa,Cook,9.6,Rejected
CAND00367,REQ22281,Ashley,Lopez,5.7,Rejected
CAND00368,REQ12233,Theresa,Weber,8.0,Rejected
CAND00369,REQ15647,David,Parks,14.9,Rejected
CAND00370,REQ08011,Rodney,Gonzalez,2.1,Rejected
CAND00371,REQ02861,Tami,Williams,9.9,Rejected
CAND00372,REQ03053,James,Foster,19.1,Hired
CAND00373,REQ07122,Dylan,Harris,2.1,Interviewing
CAND00374,REQ09727,John,Sanchez,13.0,Rejected
CAND00375,REQ22678,Shannon,Barron,2.3,Rejected
CAND00376,REQ13184,Anne,Smith,13.7,Rejected
CAND00377,REQ00537,Regina,Spencer,4.4,Rejected
CAND00378,REQ11096,John,Lawrence,19.1,Interviewing
CAND00379,REQ20817,Steven,Brown,0.4,Rejected
CAND00380,REQ18836,Holly,Garcia,7.2,Offer Extended
CAND00381,REQ12963,Jon,Dunn,7.0,Rejected
CAND00382,REQ19693,Scott,Barber,11.8,Rejected
CAND00383,REQ21922,Andre,Kline,13.5,Rejected
CAND00384,REQ18938,Rebecca,Lee,7.7,Rejected
CAND00385,REQ18320,Erica,Nunez,6.3,Rejected
CAND00386,REQ00428,Diana,Murphy,3.0,Rejected
CAND00387,REQ22289,Kara,Kim,14.9,Rejected
CAND00388,REQ24050,Jamie,Dunn,1.1,Rejected
CAND00389,REQ13331,Bryan,Jones,18.0,Rejected
CAND00390,REQ02416,Margaret,Roberts,16.6,Hired
CAND00391,REQ14886,Andrew,Griffin,19.6,Rejected
CAND00392,REQ08752,Susan,Collins,17.0,Rejected
CAND00393,REQ20840,Nicole,Oneal,1.8,Rejected
CAND00394,REQ14094,Kim,Bell,12.2,Rejected
CAND00395,REQ10233,Lauren,Peters,15.2,Rejected
CAND00396,REQ24262,Joseph,Gonzalez,8.5,Rejected
CAND00397,REQ02035,Jacqueline,Sutton,0.7,Rejected
CAND00398,REQ02489,Nancy,Lee,8.7,Rejected
CAND00399,REQ19393,Douglas,Whitehead,10.0,Rejected
CAND00400,REQ13367,Brianna,White,6.0,Interviewing
CAND00401,REQ06678,Phillip,Rogers,7.1,Hired
CAND00402,REQ00079,Cody,Herrera,17.5,Rejected
CAND00403,REQ02832,Bradley,Ruiz,0.7,Rejected
CAND00404,REQ01642,Joshua,Lopez,6.9,Rejected
CAND00405,REQ10040,Judy,Thomas,1.9,Rejected
CAND00406,REQ05126,Jonathan,Davis,6.4,Rejected
CAND00407,REQ15503,Daniel,Wood,0.9,Rejected
CAND00408,REQ10113,Rachel,Castaneda,1.8,Rejected
CAND00409,REQ15290,Michelle,Ingram,16.5,Rejected
CAND00410,REQ01234,Lynn,Stout,11.8,Rejected
CAND00411,REQ10454,Kristen,Jackson,3.1,Interviewing
CAND00412,REQ23255,Laurie,Crawford,2.9,Interviewing
CAND00413,REQ12564,Diana,Kennedy,10.7,Rejected
CAND00414,REQ04391,Michael,Thomas,19.7,Rejected
CAND00415,REQ15296,Dennis,Peters,5.8,Rejected
CAND00416,REQ11191,Bryan,Martin,0.8,Rejected
CAND00417,REQ10574,Brian,Allen,16.6,Hired
CAND00418,REQ09571,Susan,Sellers,4.7,Rejected
CAND00419,REQ07408,Carol,Nelson,3.1,Rejected
CAND00420,REQ10680,Brenda,Webb,0.9,Interviewing
CAND00421,REQ03975,Joshua,Taylor,9.2,Offer Extended
CAND00422,REQ01661,Kristen,Fernandez,16.0,Rejected
CAND00423,REQ05190,Jason,Smith,15.9,Rejected
CAND00424,REQ16573,Kenneth,Zavala,3.7,Rejected
CAND00425,REQ03111,Theresa,Waters,5.5,Rejected
CAND00426,REQ24163,Tim,Cook,15.3,Rejected
CAND00427,REQ10684,Teresa,Fernandez,11.3,Rejected
CAND00428,REQ00535,Christopher,Morris,11.9,Interviewing
CAND00429,REQ14207,Brandon,Morrison,4.2,Hired
CAND00430,REQ23471,Clinton,Hampton,13.1,Rejected
CAND00431,REQ11501,Nancy,Jensen,15.8,Rejected
CAND00432,REQ06134,Jeffrey,Cantu,15.0,Rejected
CAND00433,REQ06347,Emily,Lane,11.1,Rejected
CAND00434,REQ24862,Michael,Carter,13.4,Rejected
CAND00435,REQ13822,Maurice,Wilson,15.2,Interviewing
CAND00436,REQ06952,Mark,Strickland,4.3,Interviewing
CAND00437,REQ01400,Jeremy,Santos,14.6,Hired
CAND00438,REQ06213,Kevin,Griffin,13.2,Rejected
CAND00439,REQ17379,Hayden,Curtis,11.4,Interviewing
CAND00440,REQ24472,Austin,Flynn,13.2,Rejected
CAND00441,REQ21536,Julie,Green,3.9,Rejected
CAND00442,REQ02124,Antonio,Martin,19.7,Hired
CAND00443,REQ13737,Jason,Hubbard,9.9,Rejected
CAND00444,REQ07130,Michelle,Martinez,6.5,Rejected
CAND00445,REQ10143,Martin,Williams,18.7,Rejected
CAND00446,REQ15678,Jose,Nolan,7.1,Rejected
CAND00447,REQ10269,Peter,Flores,6.9,Rejected
CAND00448,REQ22524,Marc,White,19.1,Rejected
CAND00449,REQ15519,James,Adams,10.9,Rejected
CAND00450,REQ08289,Randall,Rodriguez,5.2,Interviewing
CAND00451,REQ15071,Joshua,Reed,9.5,Interviewing
CAND00452,REQ07924,Jacob,Martin,15.6,Offer Extended
CAND00453,REQ00083,Blake,King,14.5,Rejected
CAND00454,REQ10609,Barbara,Kramer,17.8,Rejected
CAND00455,REQ18596,Jordan,Wilkins,19.6,Interviewing
CAND00456,REQ19110,Kevin,Ewing,16.4,Rejected
CAND00457,REQ02725,Richard,Harris,10.6,Rejected
CAND00458,REQ17773,Brittney,Anderson,19.8,Offer Extended
